city,unit,lat,lon,station,station_name,resolution_source,wunderground,resolution_url,_coord_method
Sao Paulo,C,-23.43556,-46.47306,SBGR,Sao Paulo-Guarulhos International Airport,wunderground,br/guarulhos/SBGR,https://www.wunderground.com/history/daily/br/guarulhos/SBGR,icao
Seattle,C,47.449889,-122.311778,KSEA,Seattle-Tacoma International Airport,wunderground,us/wa/seatac/KSEA,https://www.wunderground.com/history/daily/us/wa/seatac/KSEA,icao
Seoul,C,37.4691,126.451,RKSI,Incheon Intl Airport,wunderground,kr/incheon/RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,icao
Shanghai,C,31.1434,121.805,ZSPD,Shanghai Pudong International Airport,wunderground,cn/shanghai/ZSPD,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,icao
Shenzhen,C,22.6393,113.811,ZGSZ,Shenzhen Bao'an International Airport,wunderground,cn/shenzhen/ZGSZ,https://www.wunderground.com/history/daily/cn/shenzhen/ZGSZ,icao
Singapore,C,1.35019,103.994,WSSS,Singapore Changi Airport,wunderground,sg/singapore/WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,icao
Taipei,C,25.0694,121.552,RCSS,Taipei Songshan Airport,wunderground,tw/taipei/RCSS,https://www.wunderground.com/history/daily/tw/taipei/RCSS,icao
Tel Aviv,C,,,,,nws,,https://www.weather.gov/wrh/timeseries?site=LLBG,unknown
Tokyo,C,35.5523,139.78,RJTT,Tokyo Haneda Airport,wunderground,jp/tokyo/RJTT,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,icao
Toronto,C,43.6772,-79.6306,CYYZ,Toronto Pearson Intl Airport,wunderground,ca/mississauga/CYYZ,https://www.wunderground.com/history/daily/ca/mississauga/CYYZ,icao
Warsaw,C,52.1657,20.9671,EPWA,Warsaw Chopin Airport,wunderground,pl/warsaw/EPWA,https://www.wunderground.com/history/daily/pl/warsaw/EPWA,icao
Wellington,C,-41.3272,174.80499,NZWN,Wellington Intl Airport,wunderground,nz/wellington/NZWN,https://www.wunderground.com/history/daily/nz/wellington/NZWN,icao
Wuhan,C,30.7838,114.208,ZHHH,Wuhan Tianhe International Airport,wunderground,cn/wuhan/ZHHH,https://www.wunderground.com/history/daily/cn/wuhan/ZHHH,icao
Zhengzhou,C,34.5197,113.841,ZHCC,Zhengzhou Xinzheng International Airport,wunderground,cn/zhengzhou/ZHCC,https://www.wunderground.com/history/daily/cn/zhengzhou/ZHCC,icao
