id,group_id,decision_time,consensus_temp,sum_of_prices,estimated_edge,basket_json,virtual_stake_usd,status,resolved_at,actual_temp,winning_market_id,pnl_usd,rejection_reason,notes
1,439961,2026-05-04 08:01:33.432680,19.1441669464111,0.859,0.164144353899884,"[{""market_id"": ""2137374"", ""bin_label"": ""18\u00b0C"", ""bin_min"": 17.5, ""bin_max"": 18.5, ""price_yes"": 0.0015, ""stake_usd"": 2.0, ""shares"": 1333.3333}, {""market_id"": ""2137375"", ""bin_label"": ""19\u00b0C"", ""bin_min"": 18.5, ""bin_max"": 19.5, ""price_yes"": 0.0025, ""stake_usd"": 2.0, ""shares"": 800.0}, {""market_id"": ""2137376"", ""bin_label"": ""20\u00b0C"", ""bin_min"": 19.5, ""bin_max"": 20.5, ""price_yes"": 0.295, ""stake_usd"": 2.0, ""shares"": 6.7797}, {""market_id"": ""2137373"", ""bin_label"": ""17\u00b0C"", ""bin_min"": 16.5, ""bin_max"": 17.5, ""price_yes"": 0.0005, ""stake_usd"": 2.0, ""shares"": 4000.0}, {""market_id"": ""2137377"", ""bin_label"": ""21\u00b0C"", ""bin_min"": 20.5, ""bin_max"": 21.5, ""price_yes"": 0.5595, ""stake_usd"": 2.0, ""shares"": 3.5746}]",10.0,resolved_partial,2026-05-05 12:41:50.467912,20.3605003356934,2137376,-3.2203,,
2,439950,2026-05-04 11:12:40.125335,80.4800006866455,0.8615,0.160766105629716,"[{""market_id"": ""2137253"", ""bin_label"": ""78-79\u00b0F"", ""bin_min"": 78.0, ""bin_max"": 79.0, ""price_yes"": 0.0365, ""stake_usd"": 2.0, ""shares"": 54.7945}, {""market_id"": ""2137254"", ""bin_label"": ""80-81\u00b0F"", ""bin_min"": 80.0, ""bin_max"": 81.0, ""price_yes"": 0.19, ""stake_usd"": 2.0, ""shares"": 10.5263}, {""market_id"": ""2137255"", ""bin_label"": ""82-83\u00b0F"", ""bin_min"": 82.0, ""bin_max"": 83.0, ""price_yes"": 0.445, ""stake_usd"": 2.0, ""shares"": 4.4944}, {""market_id"": ""2137252"", ""bin_label"": ""76-77\u00b0F"", ""bin_min"": 76.0, ""bin_max"": 77.0, ""price_yes"": 0.006, ""stake_usd"": 2.0, ""shares"": 333.3333}, {""market_id"": ""2137256"", ""bin_label"": ""84-85\u00b0F"", ""bin_min"": 84.0, ""bin_max"": 85.0, ""price_yes"": 0.184, ""stake_usd"": 2.0, ""shares"": 10.8696}]",10.0,resolved_loss,2026-05-05 12:41:50.745236,81.006799697876,,-10.0,,
3,443298,2026-05-05 12:41:50.773080,14.0200001398722,0.1665,5.00600600600601,"[{""market_id"": ""2144673"", ""bin_label"": ""13\u00b0C"", ""bin_min"": 12.5, ""bin_max"": 13.5, ""price_yes"": 0.0005, ""stake_usd"": 2.0, ""shares"": 4000.0}, {""market_id"": ""2144674"", ""bin_label"": ""14\u00b0C"", ""bin_min"": 13.5, ""bin_max"": 14.5, ""price_yes"": 0.0005, ""stake_usd"": 2.0, ""shares"": 4000.0}, {""market_id"": ""2144675"", ""bin_label"": ""15\u00b0C"", ""bin_min"": 14.5, ""bin_max"": 15.5, ""price_yes"": 0.0005, ""stake_usd"": 2.0, ""shares"": 4000.0}, {""market_id"": ""2144672"", ""bin_label"": ""12\u00b0C"", ""bin_min"": 11.5, ""bin_max"": 12.5, ""price_yes"": 0.0, ""stake_usd"": 2.0, ""shares"": null}, {""market_id"": ""2144676"", ""bin_label"": ""16\u00b0C"", ""bin_min"": 15.5, ""bin_max"": 16.5, ""price_yes"": 0.165, ""stake_usd"": 2.0, ""shares"": 12.1212}]",10.0,resolved_win,2026-05-06 05:39:19.333639,13.4909992218018,2144673,3990.0,,
4,446704,2026-05-05 12:41:50.947529,23.6260013580322,0.616,0.623376623376623,"[{""market_id"": ""2152602"", ""bin_label"": ""23\u00b0C"", ""bin_min"": 22.5, ""bin_max"": 23.5, ""price_yes"": 0.165, ""stake_usd"": 2.0, ""shares"": 12.1212}, {""market_id"": ""2152603"", ""bin_label"": ""24\u00b0C"", ""bin_min"": 23.5, ""bin_max"": 24.5, ""price_yes"": 0.0025, ""stake_usd"": 2.0, ""shares"": 800.0}, {""market_id"": ""2152604"", ""bin_label"": ""25\u00b0C"", ""bin_min"": 24.5, ""bin_max"": 25.5, ""price_yes"": 0.0055, ""stake_usd"": 2.0, ""shares"": 363.6364}, {""market_id"": ""2152601"", ""bin_label"": ""22\u00b0C"", ""bin_min"": 21.5, ""bin_max"": 22.5, ""price_yes"": 0.44, ""stake_usd"": 2.0, ""shares"": 4.5455}, {""market_id"": ""2152605"", ""bin_label"": ""26\u00b0C"", ""bin_min"": 25.5, ""bin_max"": 26.5, ""price_yes"": 0.003, ""stake_usd"": 2.0, ""shares"": 666.6667}]",10.0,resolved_partial,2026-05-07 05:42:32.229484,22.3500003814697,2152601,-5.4545,,
5,443224,2026-05-05 12:41:51.005510,8.48666667938232,0.1175,7.51063829787234,"[{""market_id"": ""2144431"", ""bin_label"": ""7\u00b0C"", ""bin_min"": 6.5, ""bin_max"": 7.5, ""price_yes"": 0.0025, ""stake_usd"": 2.0, ""shares"": 800.0}, {""market_id"": ""2144432"", ""bin_label"": ""8\u00b0C"", ""bin_min"": 7.5, ""bin_max"": 8.5, ""price_yes"": 0.003, ""stake_usd"": 2.0, ""shares"": 666.6667}, {""market_id"": ""2144434"", ""bin_label"": ""9\u00b0C"", ""bin_min"": 8.5, ""bin_max"": 9.5, ""price_yes"": 0.009, ""stake_usd"": 2.0, ""shares"": 222.2222}, {""market_id"": ""2144428"", ""bin_label"": ""6\u00b0C"", ""bin_min"": 5.5, ""bin_max"": 6.5, ""price_yes"": 0.003, ""stake_usd"": 2.0, ""shares"": 666.6667}, {""market_id"": ""2144437"", ""bin_label"": ""10\u00b0C"", ""bin_min"": 9.5, ""bin_max"": 10.5, ""price_yes"": 0.1, ""stake_usd"": 2.0, ""shares"": 20.0}]",10.0,resolved_win,2026-05-06 05:39:19.349449,8.79099941253662,2144434,212.2222,,
6,446703,2026-05-05 12:41:51.042534,16.1388330459595,0.851,0.175088131609871,"[{""market_id"": ""2152589"", ""bin_label"": ""15\u00b0C"", ""bin_min"": 14.5, ""bin_max"": 15.5, ""price_yes"": 0.08, ""stake_usd"": 2.0, ""shares"": 25.0}, {""market_id"": ""2152590"", ""bin_label"": ""16\u00b0C"", ""bin_min"": 15.5, ""bin_max"": 16.5, ""price_yes"": 0.24, ""stake_usd"": 2.0, ""shares"": 8.3333}, {""market_id"": ""2152591"", ""bin_label"": ""17\u00b0C"", ""bin_min"": 16.5, ""bin_max"": 17.5, ""price_yes"": 0.47, ""stake_usd"": 2.0, ""shares"": 4.2553}, {""market_id"": ""2152588"", ""bin_label"": ""14\u00b0C"", ""bin_min"": 13.5, ""bin_max"": 14.5, ""price_yes"": 0.05, ""stake_usd"": 2.0, ""shares"": 40.0}, {""market_id"": ""2152592"", ""bin_label"": ""18\u00b0C"", ""bin_min"": 17.5, ""bin_max"": 18.5, ""price_yes"": 0.011, ""stake_usd"": 2.0, ""shares"": 181.8182}]",10.0,resolved_win,2026-05-07 05:42:32.484035,14.5954999923706,2152589,15.0,,
7,450179,2026-05-05 12:41:51.296636,18.0033334096273,0.637,0.569858712715856,"[{""market_id"": ""2161813"", ""bin_label"": ""17\u00b0C"", ""bin_min"": 16.5, ""bin_max"": 17.5, ""price_yes"": 0.195, ""stake_usd"": 2.0, ""shares"": 10.2564}, {""market_id"": ""2161814"", ""bin_label"": ""18\u00b0C"", ""bin_min"": 17.5, ""bin_max"": 18.5, ""price_yes"": 0.0565, ""stake_usd"": 2.0, ""shares"": 35.3982}, {""market_id"": ""2161815"", ""bin_label"": ""19\u00b0C"", ""bin_min"": 18.5, ""bin_max"": 19.5, ""price_yes"": 0.024, ""stake_usd"": 2.0, ""shares"": 83.3333}, {""market_id"": ""2161812"", ""bin_label"": ""16\u00b0C"", ""bin_min"": 15.5, ""bin_max"": 16.5, ""price_yes"": 0.355, ""stake_usd"": 2.0, ""shares"": 5.6338}, {""market_id"": ""2161816"", ""bin_label"": ""20\u00b0C or higher"", ""bin_min"": 20.0, ""bin_max"": null, ""price_yes"": 0.0065, ""stake_usd"": 2.0, ""shares"": 307.6923}]",10.0,resolved_loss,2026-05-07 21:07:22.338201,15.0,,-10.0,,
8,448455,2026-05-05 13:12:32.368456,84.8300006866455,0.906,0.103752759381898,"[{""market_id"": ""2156866"", ""bin_label"": ""82-83\u00b0F"", ""bin_min"": 82.0, ""bin_max"": 83.0, ""price_yes"": 0.014, ""stake_usd"": 2.0, ""shares"": 142.8571}, {""market_id"": ""2156867"", ""bin_label"": ""84-85\u00b0F"", ""bin_min"": 84.0, ""bin_max"": 85.0, ""price_yes"": 0.1, ""stake_usd"": 2.0, ""shares"": 20.0}, {""market_id"": ""2156868"", ""bin_label"": ""86-87\u00b0F"", ""bin_min"": 86.0, ""bin_max"": 87.0, ""price_yes"": 0.445, ""stake_usd"": 2.0, ""shares"": 4.4944}, {""market_id"": ""2156865"", ""bin_label"": ""80-81\u00b0F"", ""bin_min"": 80.0, ""bin_max"": 81.0, ""price_yes"": 0.002, ""stake_usd"": 2.0, ""shares"": 1000.0}, {""market_id"": ""2156869"", ""bin_label"": ""88-89\u00b0F"", ""bin_min"": 88.0, ""bin_max"": 89.0, ""price_yes"": 0.345, ""stake_usd"": 2.0, ""shares"": 5.7971}]",10.0,resolved_loss,2026-05-07 05:42:32.744572,87.306799697876,,-10.0,,
9,450186,2026-05-05 13:46:27.162694,62.8016002655029,0.9015,0.109262340543539,"[{""market_id"": ""2161886"", ""bin_label"": ""60-61\u00b0F"", ""bin_min"": 60.0, ""bin_max"": 61.0, ""price_yes"": 0.215, ""stake_usd"": 2.0, ""shares"": 9.3023}, {""market_id"": ""2161887"", ""bin_label"": ""62-63\u00b0F"", ""bin_min"": 62.0, ""bin_max"": 63.0, ""price_yes"": 0.335, ""stake_usd"": 2.0, ""shares"": 5.9701}, {""market_id"": ""2161888"", ""bin_label"": ""64-65\u00b0F"", ""bin_min"": 64.0, ""bin_max"": 65.0, ""price_yes"": 0.235, ""stake_usd"": 2.0, ""shares"": 8.5106}, {""market_id"": ""2161885"", ""bin_label"": ""58-59\u00b0F"", ""bin_min"": 58.0, ""bin_max"": 59.0, ""price_yes"": 0.0315, ""stake_usd"": 2.0, ""shares"": 63.4921}, {""market_id"": ""2161889"", ""bin_label"": ""66-67\u00b0F"", ""bin_min"": 66.0, ""bin_max"": 67.0, ""price_yes"": 0.085, ""stake_usd"": 2.0, ""shares"": 23.5294}]",10.0,resolved_loss,2026-05-07 21:07:22.595575,65.4457988739014,,-10.0,,
10,450209,2026-05-05 13:46:27.216752,74.6821983337402,0.5245,0.906577693040992,"[{""market_id"": ""2162140"", ""bin_label"": ""72-73\u00b0F"", ""bin_min"": 72.0, ""bin_max"": 73.0, ""price_yes"": 0.135, ""stake_usd"": 2.0, ""shares"": 14.8148}, {""market_id"": ""2162141"", ""bin_label"": ""74-75\u00b0F"", ""bin_min"": 74.0, ""bin_max"": 75.0, ""price_yes"": 0.115, ""stake_usd"": 2.0, ""shares"": 17.3913}, {""market_id"": ""2162142"", ""bin_label"": ""76-77\u00b0F"", ""bin_min"": 76.0, ""bin_max"": 77.0, ""price_yes"": 0.115, ""stake_usd"": 2.0, ""shares"": 17.3913}, {""market_id"": ""2162139"", ""bin_label"": ""70-71\u00b0F"", ""bin_min"": 70.0, ""bin_max"": 71.0, ""price_yes"": 0.14, ""stake_usd"": 2.0, ""shares"": 14.2857}, {""market_id"": ""2162143"", ""bin_label"": ""78-79\u00b0F"", ""bin_min"": 78.0, ""bin_max"": 79.0, ""price_yes"": 0.0195, ""stake_usd"": 2.0, ""shares"": 102.5641}]",10.0,resolved_win,2026-05-07 21:07:22.849987,70.3282981872559,2162139,4.2857,,
